"消防緊急救護急救處置","總次數","呼吸道處置","口咽呼吸道","鼻咽呼吸道","抽吸","鼻管","面罩","非再呼吸型面罩","BVM","SGA","氣管內管","霧化吸入型面罩","哈姆立克法","其他","創傷處置","頸圈","清洗傷口","包紮止血","長背板固定","鏟式擔架固定","KED固定","骨折固定","夾板固定","抽吸式護木","其他","心肺復甦術","自動心肺復甦機","CPR","使用AED/不建議電擊","使用AED/電擊","藥物處置","靜脈輸液","口服葡萄糖","建議給藥","其他處置","保暖"
"102年 1月/ 區域別總計","250,735","21,053","880","247","211","3,849","8,876","1,798","2,586","1,155","91","-","33","1,327","61,918","4,605","25,150","22,889","5,612","238","279","-","3,145","-","-","4,374","-","2,169","1,957","248","2,245","998","802","445","161,145","45,618"
"102年 1月/ 新北市","40,917","2,886","53","87","22","519","1,061","389","447","254","53","-","1","-","8,320","681","3,588","2,873","586","-","55","-","537","-","-","697","-","338","316","43","874","507","173","194","28,140","5,046"
"102年 1月/ 臺北市","35,376","3,596","43","22","50","382","706","465","437","206","28","-","7","1,250","7,050","602","2,611","2,627","806","-","10","-","394","-","-","734","-","309","337","88","567","212","184","171","23,429","3,515"
"102年 1月/ 桃園市","21,587","2,485","98","51","13","404","1,421","149","199","143","3","-","4","-","5,512","328","2,277","2,224","394","3","32","-","254","-","-","356","-","190","149","17","236","89","131","16","12,998","4,880"
"102年 1月/ 臺中市","28,307","2,151","69","11","24","237","1,234","150","264","160","-","-","2","-","7,792","319","3,374","3,039","647","97","9","-","307","-","-","427","-","217","202","8","78","-","70","8","17,859","7,114"
"102年 1月/ 臺南市","17,335","1,655","17","18","14","488","661","116","191","134","2","-","2","12","5,794","552","2,294","2,101","537","-","15","-","295","-","-","320","-","154","142","24","104","83","18","3","9,462","3,978"
"102年 1月/ 高雄市","25,063","1,986","143","14","15","521","659","243","298","87","2","-","2","2","7,929","615","3,293","2,908","651","1","47","-","414","-","-","499","-","256","221","22","128","28","80","20","14,521","3,745"
"102年 1月/ 宜蘭縣","5,019","346","28","3","3","50","187","9","51","12","2","-","1","-","1,084","42","500","427","64","-","6","-","45","-","-","67","-","42","25","-","9","2","3","4","3,513","916"
"102年 1月/ 新竹縣","4,079","388","8","2","3","61","203","30","47","33","1","-","-","-","1,241","69","488","466","178","-","16","-","24","-","-","89","-","47","41","1","23","12","9","2","2,338","1,053"
"102年 1月/ 苗栗縣","5,009","647","24","3","4","157","331","16","75","36","-","-","1","-","1,270","111","465","435","177","1","6","-","75","-","-","124","-","65","57","2","8","-","7","1","2,960","1,462"
"102年 1月/ 彰化縣","15,564","983","119","4","17","239","457","6","122","12","-","-","3","4","4,007","186","1,598","1,560","338","127","9","-","189","-","-","225","-","114","104","7","29","2","26","1","10,320","3,230"
"102年 1月/ 南投縣","6,389","460","36","2","8","59","271","22","49","12","-","-","1","-","1,369","111","518","521","144","3","7","-","65","-","-","108","-","54","49","5","15","7","3","5","4,437","1,260"
"102年 1月/ 雲林縣","8,299","627","53","6","8","83","352","12","72","5","-","-","1","35","2,059","353","730","666","203","-","12","-","95","-","-","157","-","84","67","6","8","3","5","-","5,448","1,764"
"102年 1月/ 嘉義縣","5,441","437","42","5","1","101","213","15","53","4","-","-","3","-","1,145","62","484","441","100","-","7","-","51","-","-","91","-","51","35","5","34","8","21","5","3,734","1,489"
"102年 1月/ 屏東縣","10,093","659","56","5","3","190","289","17","90","9","-","-","-","-","2,378","232","917","817","265","-","24","-","123","-","-","157","-","80","74","3","15","3","10","2","6,884","2,153"
"102年 1月/ 臺東縣","3,265","398","2","7","3","91","202","41","33","18","-","-","-","1","819","53","302","295","123","-","6","-","40","-","-","42","-","21","19","2","43","26","15","2","1,963","708"
"102年 1月/ 花蓮縣","4,620","272","17","2","5","36","126","43","35","6","-","-","2","-","979","118","357","335","103","4","8","-","54","-","-","63","-","31","28","4","22","14","2","6","3,284","820"
"102年 1月/ 澎湖縣","1,011","71","2","-","1","15","49","-","3","1","-","-","-","-","189","23","65","64","20","2","-","-","15","-","-","14","-","8","5","1","1","-","1","-","736","226"
"102年 1月/ 基隆市","4,050","306","47","1","3","57","127","18","52","-","-","-","1","-","755","28","310","305","59","-","5","-","48","-","-","91","-","47","42","2","6","-","5","1","2,892","821"
"102年 1月/ 新竹市","4,604","359","6","-","11","82","148","47","41","22","-","-","2","-","1,101","54","512","379","110","-","3","-","43","-","-","66","-","35","25","6","37","2","31","4","3,041","276"
"102年 1月/ 嘉義市","3,598","235","16","3","2","50","138","2","23","1","-","-","-","-","877","45","376","322","71","-","2","-","61","-","-","39","-","21","16","2","6","-","6","-","2,441","945"
"102年 1月/ 金門縣","881","93","1","1","1","23","33","8","3","-","-","-","-","23","168","12","63","61","24","-","-","-","8","-","-","7","-","4","3","-","1","-","1","-","612","167"
"102年 1月/ 連江縣","30","-","-","-","-","-","-","-","-","-","-","-","-","-","9","1","3","2","3","-","-","-","-","-","-","-","-","-","-","-","1","-","1","-","20","9"
"102年 1月/ 基隆港","46","5","-","-","-","1","4","-","-","-","-","-","-","-","16","1","6","5","3","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","25","11"
"102年 1月/ 臺中港","28","1","-","-","-","-","1","-","-","-","-","-","-","-","11","1","4","3","2","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","16","7"
"102年 1月/ 高雄港","112","6","-","-","-","3","2","-","1","-","-","-","-","-","39","5","13","12","4","-","-","-","5","-","-","1","-","1","-","-","-","-","-","-","66","21"
"102年 1月/ 花蓮港","12","1","-","-","-","-","1","-","-","-","-","-","-","-","5","1","2","1","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","6","2"
"102年 2月/ 區域別總計","217,535","18,734","726","187","194","3,464","8,016","1,553","2,269","1,124","87","-","31","1,083","53,490","3,979","21,781","19,871","4,896","220","213","-","2,530","-","-","3,867","-","1,920","1,748","199","2,061","896","737","428","139,383","38,211"
"102年 2月/ 新北市","35,371","2,478","41","53","24","500","917","317","370","214","36","-","6","-","7,272","578","3,169","2,505","522","-","44","-","454","-","-","576","-","281","259","36","846","458","145","243","24,199","4,183"
"102年 2月/ 臺北市","30,260","3,131","46","18","53","374","665","376","371","172","31","-","2","1,023","5,927","507","2,182","2,212","689","-","9","-","328","-","-","626","-","278","283","65","443","167","162","114","20,133","3,034"
"102年 2月/ 桃園市","17,984","2,139","85","32","11","346","1,217","122","181","135","7","-","3","-","4,452","264","1,863","1,823","299","2","28","-","173","-","-","324","-","178","135","11","187","85","98","4","10,882","4,129"
"102年 2月/ 臺中市","24,111","1,925","44","14","15","181","1,073","151","256","186","-","-","5","-","6,477","227","2,789","2,512","584","105","15","-","245","-","-","410","-","205","192","13","71","1","66","4","15,228","5,993"
"102年 2月/ 臺南市","14,256","1,357","26","10","13","366","558","113","147","104","-","-","3","17","4,782","439","1,922","1,755","424","3","12","-","227","-","-","247","-","116","113","18","107","67","28","12","7,763","3,149"
"102年 2月/ 高雄市","21,213","1,815","108","17","10","469","585","234","271","111","4","-","6","-","6,654","526","2,796","2,458","533","1","35","-","305","-","-","467","-","242","208","17","147","37","85","25","12,130","2,821"
"102年 2月/ 宜蘭縣","5,150","389","13","4","6","66","233","10","35","20","2","-","-","-","1,260","73","527","465","129","-","8","-","58","-","-","55","-","29","25","1","8","1","2","5","3,438","834"
"102年 2月/ 新竹縣","3,759","348","8","3","2","57","172","23","48","35","-","-","-","-","1,160","79","462","439","158","1","7","-","14","-","-","88","-","46","38","4","31","15","12","4","2,132","945"
"102年 2月/ 苗栗縣","4,705","614","8","5","3","147","342","13","61","34","-","-","1","-","1,181","97","453","416","148","-","3","-","64","-","-","101","-","53","44","4","19","-","18","1","2,790","1,383"
"102年 2月/ 彰化縣","13,441","884","96","4","11","203","443","4","97","19","1","-","-","6","3,409","212","1,353","1,316","271","99","3","-","155","-","-","188","-","91","93","4","29","3","26","-","8,931","2,586"
"102年 2月/ 南投縣","6,051","434","30","5","7","74","255","10","43","8","-","-","1","1","1,274","88","490","490","137","2","6","-","61","-","-","82","-","42","37","3","6","1","4","1","4,255","1,141"
"102年 2月/ 雲林縣","6,913","537","32","2","4","81","315","16","55","8","-","-","-","24","1,690","263","603","585","161","-","11","-","67","-","-","94","-","49","42","3","12","5","7","-","4,580","1,484"
"102年 2月/ 嘉義縣","5,020","354","31","3","2","72","198","7","38","3","-","-","-","-","1,146","61","483","451","94","-","2","-","55","-","-","72","-","39","31","2","26","4","20","2","3,422","1,374"
"102年 2月/ 屏東縣","9,599","714","61","5","8","212","302","11","97","17","-","-","1","-","2,433","246","917","860","281","5","15","-","109","-","-","173","-","87","80","6","16","3","10","3","6,263","1,860"
"102年 2月/ 臺東縣","3,465","410","4","3","3","83","215","29","41","25","6","-","1","-","902","61","331","327","128","-","2","-","53","-","-","75","-","38","35","2","51","39","9","3","2,027","713"
"102年 2月/ 花蓮縣","4,161","269","21","2","6","26","125","46","37","4","-","-","1","1","882","118","327","300","90","1","4","-","42","-","-","60","-","30","26","4","14","7","5","2","2,936","625"
"102年 2月/ 澎湖縣","882","55","-","-","1","12","38","-","4","-","-","-","-","-","129","9","50","44","14","-","1","-","11","-","-","14","-","8","5","1","3","-","3","-","681","211"
"102年 2月/ 基隆市","3,306","252","42","1","1","61","91","9","47","-","-","-","-","-","583","25","244","238","42","-","4","-","30","-","-","89","-","45","44","-","7","-","5","2","2,375","668"
"102年 2月/ 新竹市","3,999","320","7","3","12","61","115","52","41","29","-","-","-","-","975","42","453","344","104","1","1","-","30","-","-","71","-","35","35","1","27","3","21","3","2,606","183"
"102年 2月/ 嘉義市","3,019","202","13","2","1","49","116","2","19","-","-","-","-","-","721","46","303","278","53","-","2","-","39","-","-","34","-","17","13","4","9","-","9","-","2,053","748"
"102年 2月/ 金門縣","680","87","9","1","1","21","30","6","8","-","-","-","-","11","122","9","46","36","25","-","1","-","5","-","-","18","-","9","9","-","1","-","1","-","452","109"
"102年 2月/ 連江縣","27","-","-","-","-","-","-","-","-","-","-","-","-","-","2","-","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","25","10"
"102年 2月/ 基隆港","45","8","1","-","-","-","5","-","2","-","-","-","-","-","13","2","4","3","3","-","-","-","1","-","-","3","-","2","1","-","-","-","-","-","21","9"
"102年 2月/ 臺中港","34","2","-","-","-","-","2","-","-","-","-","-","-","-","14","2","4","5","2","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","18","6"
"102年 2月/ 高雄港","68","8","-","-","-","1","4","2","-","-","-","-","1","-","22","3","7","6","3","-","-","-","3","-","-","-","-","-","-","-","1","-","1","-","37","11"
"102年 2月/ 花蓮港","16","2","-","-","-","2","-","-","-","-","-","-","-","-","8","2","2","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","6","2"
"102年 3月/ 區域別總計","229,374","18,582","705","205","169","3,560","8,044","1,490","2,166","1,081","69","-","18","1,075","59,893","4,415","24,648","22,403","5,205","113","266","-","2,843","-","-","3,633","-","1,813","1,596","224","1,943","860","688","395","145,323","38,368"
"102年 3月/ 新北市","38,480","2,627","44","67","11","532","994","326","383","227","39","-","4","-","8,551","701","3,747","2,887","601","-","60","-","555","-","-","557","-","277","246","34","831","462","133","236","25,914","4,036"
"102年 3月/ 臺北市","32,572","2,994","45","25","24","384","632","363","348","156","10","-","2","1,005","7,083","581","2,661","2,703","774","-","5","-","359","-","-","560","-","254","243","63","385","131","150","104","21,550","2,909"
"102年 3月/ 桃園市","19,183","2,116","98","37","17","318","1,221","135","164","117","8","-","1","-","5,107","272","2,152","2,113","326","3","33","-","208","-","-","317","-","166","133","18","197","82","98","17","11,446","4,220"
"102年 3月/ 臺中市","26,150","1,908","43","8","16","212","1,103","125","241","157","-","-","3","-","7,604","264","3,338","3,018","599","97","15","-","273","-","-","360","-","180","166","14","68","-","62","6","16,210","6,361"
"102年 3月/ 臺南市","15,213","1,408","23","12","13","407","573","117","144","106","-","-","1","12","5,399","465","2,221","2,017","438","2","15","-","241","-","-","239","-","113","113","13","82","52","24","6","8,085","3,201"
"102年 3月/ 高雄市","22,652","1,789","99","13","24","486","597","204","243","117","2","-","4","-","7,835","600","3,232","2,907","640","5","48","-","403","-","-","421","-","216","186","19","111","40","61","10","12,496","2,652"
"102年 3月/ 宜蘭縣","4,971","368","10","4","6","71","206","8","36","26","1","-","-","-","1,322","79","553","493","127","1","3","-","66","-","-","63","-","32","27","4","4","1","-","3","3,214","820"
"102年 3月/ 新竹縣","4,249","400","13","6","3","78","180","32","51","35","-","-","1","1","1,376","73","562","542","170","-","14","-","15","-","-","89","-","45","41","3","33","18","14","1","2,351","1,004"
"102年 3月/ 苗栗縣","4,912","625","9","3","5","149","328","15","71","45","-","-","-","-","1,257","102","479","447","168","-","2","-","59","-","-","122","-","63","54","5","16","-","14","2","2,892","1,421"
"102年 3月/ 彰化縣","13,890","872","98","8","8","181","451","6","102","9","-","-","-","9","3,436","278","1,440","1,315","229","-","22","-","152","-","-","186","-","96","80","10","38","9","29","-","9,358","2,844"
"102年 3月/ 南投縣","5,602","419","43","2","5","71","235","12","44","4","2","-","-","1","1,156","90","446","445","125","-","6","-","44","-","-","97","-","52","41","4","11","4","5","2","3,919","1,060"
"102年 3月/ 雲林縣","7,615","582","44","3","6","84","327","13","60","9","-","-","-","36","1,827","303","604","642","181","-","12","-","85","-","-","116","-","60","49","7","12","5","7","-","5,078","1,561"
"102年 3月/ 嘉義縣","5,079","369","27","2","4","82","202","12","35","5","-","-","-","-","1,122","49","485","445","90","1","-","-","52","-","-","67","-","35","31","1","27","4","21","2","3,494","1,375"
"102年 3月/ 屏東縣","8,915","627","41","1","8","171","302","13","77","11","1","-","1","1","2,200","194","857","790","234","2","15","-","108","-","-","127","-","65","57","5","17","2","12","3","5,944","1,695"
"102年 3月/ 臺東縣","3,274","415","5","5","3","104","184","32","47","29","6","-","-","-","843","74","298","291","129","-","3","-","48","-","-","94","-","48","42","4","46","36","9","1","1,876","641"
"102年 3月/ 花蓮縣","4,025","269","16","1","7","43","129","32","36","5","-","-","-","-","868","118","313","286","99","2","8","-","42","-","-","60","-","30","26","4","9","8","1","-","2,819","550"
"102年 3月/ 澎湖縣","1,018","65","2","-","2","14","39","4","4","-","-","-","-","-","170","23","57","49","24","-","-","-","17","-","-","12","-","7","3","2","-","-","-","-","771","226"
"102年 3月/ 基隆市","3,566","217","23","3","-","60","103","2","26","-","-","-","-","-","661","22","286","279","41","-","3","-","30","-","-","50","-","25","21","4","4","-","4","-","2,634","702"
"102年 3月/ 新竹市","4,078","268","7","4","6","59","105","35","31","20","-","-","-","1","1,087","62","510","360","116","-","1","-","38","-","-","47","-","24","18","5","43","5","37","1","2,633","154"
"102年 3月/ 嘉義市","3,431","185","13","1","-","45","99","2","21","3","-","-","1","-","878","50","375","346","67","-","-","-","40","-","-","45","-","22","18","5","9","1","7","1","2,314","842"
"102年 3月/ 金門縣","276","31","1","-","1","6","15","-","1","-","-","-","-","7","42","6","12","8","14","-","-","-","2","-","-","2","-","1","1","-","-","-","-","-","201","51"
"102年 3月/ 連江縣","25","-","-","-","-","-","-","-","-","-","-","-","-","-","6","1","1","1","2","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","19","7"
"102年 3月/ 基隆港","51","7","-","-","-","1","5","1","-","-","-","-","-","-","17","-","6","5","3","-","1","-","2","-","-","-","-","-","-","-","-","-","-","-","27","12"
"102年 3月/ 臺中港","36","6","1","-","-","-","3","1","1","-","-","-","-","-","10","3","2","2","3","-","-","-","-","-","-","2","-","2","-","-","-","-","-","-","18","6"
"102年 3月/ 高雄港","111","15","-","-","-","2","11","-","-","-","-","-","-","2","36","5","11","12","5","-","-","-","3","-","-","-","-","-","-","-","-","-","-","-","60","18"
"102年 3月/ 花蓮港","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"102年 4月/ 區域別總計","219,290","18,180","625","175","158","3,603","7,930","1,490","2,013","996","66","-","20","1,104","56,267","3,943","23,264","21,220","4,669","285","196","-","2,690","-","-","3,388","-","1,691","1,490","207","1,868","830","650","388","139,587","36,566"
"102年 4月/ 新北市","36,642","2,523","33","44","23","510","992","321","361","210","28","-","1","-","7,791","633","3,403","2,692","521","-","43","-","499","-","-","551","-","274","231","46","832","442","155","235","24,945","4,190"
"102年 4月/ 臺北市","31,026","3,034","39","26","19","392","690","347","307","147","16","-","2","1,049","6,507","531","2,460","2,461","699","-","10","-","346","-","-","522","-","229","241","52","365","138","134","93","20,598","2,560"
"102年 4月/ 桃園市","18,340","2,031","74","35","16","356","1,173","107","155","105","9","-","1","-","4,816","256","2,019","1,974","308","2","37","-","220","-","-","282","-","152","114","16","165","65","91","9","11,046","3,976"
"102年 4月/ 臺中市","24,512","1,820","30","11","11","195","1,017","157","221","174","-","-","3","1","6,820","251","3,010","2,677","524","108","11","-","239","-","-","357","-","178","165","14","66","2","57","7","15,449","6,117"
"102年 4月/ 臺南市","14,857","1,447","28","8","7","406","615","113","153","99","-","-","1","17","5,271","434","2,174","2,016","409","-","10","-","228","-","-","229","-","114","101","14","99","54","32","13","7,811","3,141"
"102年 4月/ 高雄市","21,366","1,724","62","16","19","530","623","207","174","85","1","-","4","3","7,470","537","3,149","2,834","554","1","20","-","375","-","-","294","-","152","129","13","115","49","58","8","11,763","2,376"
"102年 4月/ 宜蘭縣","4,697","338","6","1","3","46","191","7","44","37","2","-","-","1","1,184","60","509","458","98","-","1","-","58","-","-","78","-","40","33","5","4","-","2","2","3,093","752"
"102年 4月/ 新竹縣","3,643","352","12","3","3","62","172","19","45","35","-","-","1","-","1,135","52","484","460","119","1","9","-","10","-","-","84","-","42","37","5","21","10","9","2","2,051","861"
