"消防緊急救護急救處置","總次數","呼吸道處置","口咽呼吸道","鼻咽呼吸道","抽吸","鼻管","面罩","非再呼吸型面罩","BVM","SGA","氣管內管","霧化吸入型面罩","哈姆立克法","其他","創傷處置","頸圈","清洗傷口","包紮止血","長背板固定","鏟式擔架固定","KED固定","骨折固定","夾板固定","抽吸式護木","其他","心肺復甦術","自動心肺復甦機","CPR","使用AED/不建議電擊","使用AED/電擊","藥物處置","靜脈輸液","口服葡萄糖","建議給藥","其他處置","保暖"
"103年 3月/ 金門縣","811","94","4","-","2","17","36","10","5","-","-","-","1","19","157","15","55","48","26","-","4","-","9","-","-","8","-","4","4","-","1","-","1","-","551","131"
"103年 3月/ 連江縣","37","4","-","-","-","1","3","-","-","-","-","-","-","-","7","-","2","4","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","26","9"
"103年 3月/ 基隆港","64","6","-","-","-","1","3","2","-","-","-","-","-","-","22","1","7","8","4","-","-","-","2","-","-","1","-","1","-","-","-","-","-","-","35","14"
"103年 3月/ 臺中港","55","8","-","-","-","4","2","-","2","-","-","-","-","-","13","-","4","4","3","-","-","-","2","-","-","3","-","2","1","-","-","-","-","-","31","9"
"103年 3月/ 高雄港","127","9","-","-","-","2","3","3","1","-","-","-","-","-","43","8","13","12","9","-","-","-","1","-","-","-","-","-","-","-","1","-","-","1","74","23"
"103年 3月/ 花蓮港","7","-","-","-","-","-","-","-","-","-","-","-","-","-","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","6","2"
"103年 4月/ 區域別總計","234,339","17,175","586","165","147","3,301","7,725","1,653","2,078","1,076","106","-","23","315","63,560","4,179","26,811","24,504","4,984","87","242","-","2,753","-","-","3,588","-","1,831","1,537","220","2,241","1,081","660","500","147,775","36,064"
"103年 4月/ 新北市","40,515","2,525","48","64","18","387","966","378","396","202","60","-","6","-","9,358","651","4,175","3,407","525","-","39","-","561","-","-","528","-","302","187","39","1,139","640","143","356","26,965","3,615"
"103年 4月/ 臺北市","28,013","1,915","38","14","19","304","565","314","258","129","15","-","2","257","6,592","438","2,624","2,609","553","-","15","-","353","-","-","502","-","226","216","60","347","150","111","86","18,657","1,763"
"103年 4月/ 桃園市","18,731","1,960","79","17","9","312","1,111","129","169","118","14","-","2","-","5,209","250","2,247","2,205","299","2","27","-","179","-","-","303","-","166","117","20","161","78","76","7","11,098","3,934"
"103年 4月/ 臺中市","27,250","1,740","19","6","13","243","898","152","230","177","2","-","-","-","8,074","279","3,594","3,275","599","80","19","-","228","-","-","369","-","186","170","13","72","5","62","5","16,995","6,424"
"103年 4月/ 臺南市","16,382","1,442","14","11","20","354","603","165","147","119","-","-","-","9","6,092","519","2,516","2,359","485","-","17","-","196","-","-","279","-","137","124","18","65","43","17","5","8,504","3,229"
"103年 4月/ 高雄市","23,695","1,784","32","13","19","518","549","271","223","150","3","-","4","2","8,371","534","3,634","3,240","561","2","29","-","371","-","-","382","-","194","169","19","197","78","99","20","12,961","2,481"
"103年 4月/ 宜蘭縣","5,196","398","8","3","5","82","230","7","35","25","2","-","-","1","1,271","56","551","477","105","-","9","-","73","-","-","62","-","32","25","5","2","1","1","-","3,463","696"
"103年 4月/ 新竹縣","3,998","370","5","5","3","60","180","28","49","39","-","-","1","-","1,341","87","560","504","160","-","13","-","17","-","-","90","-","46","39","5","24","8","13","3","2,173","874"
"103年 4月/ 苗栗縣","5,012","551","11","5","1","139","309","18","41","27","-","-","-","-","1,432","118","540","506","184","-","11","-","73","-","-","76","-","39","35","2","27","1","25","1","2,926","1,442"
"103年 4月/ 彰化縣","15,439","940","103","7","11","205","488","10","113","1","-","-","2","-","3,954","188","1,653","1,631","323","-","7","-","152","-","-","218","-","107","104","7","24","9","15","-","10,303","2,936"
"103年 4月/ 南投縣","5,890","417","25","6","1","56","266","10","39","11","-","-","1","2","1,298","90","504","481","146","-","7","-","70","-","-","86","-","44","35","7","9","5","4","-","4,080","959"
"103年 4月/ 雲林縣","7,861","550","44","1","4","79","307","21","64","8","1","-","-","21","2,002","337","707","659","209","1","16","-","73","-","-","122","-","61","56","5","11","5","6","-","5,176","1,465"
"103年 4月/ 嘉義縣","5,849","431","37","3","4","116","198","13","56","3","-","-","1","-","1,356","71","578","541","110","1","3","-","52","-","-","107","-","55","48","4","30","1","25","4","3,925","1,467"
"103年 4月/ 屏東縣","10,341","715","56","1","11","175","346","23","84","16","1","-","2","-","2,561","255","976","915","273","-","18","-","124","-","-","158","-","81","73","4","14","4","7","3","6,893","1,990"
"103年 4月/ 臺東縣","3,135","347","5","3","4","67","161","30","44","23","8","-","2","-","778","37","299","286","96","-","2","-","58","-","-","76","-","37","36","3","58","42","11","5","1,876","485"
"103年 4月/ 花蓮縣","4,045","246","10","2","2","31","121","35","32","12","-","-","-","1","846","104","315","281","104","-","3","-","39","-","-","59","-","32","23","4","11","6","4","1","2,883","597"
"103年 4月/ 澎湖縣","1,119","72","2","-","-","23","35","6","5","-","-","-","-","1","248","25","88","80","34","-","-","-","21","-","-","12","-","7","4","1","4","-","3","1","783","208"
"103年 4月/ 基隆市","3,291","235","28","2","-","46","120","6","33","-","-","-","-","-","680","22","297","288","43","-","1","-","29","-","-","55","-","27","28","-","6","-","5","1","2,315","442"
"103年 4月/ 新竹市","3,841","258","4","1","3","50","131","27","28","14","-","-","-","-","1,020","47","500","358","82","-","1","-","32","-","-","53","-","26","24","3","27","2","25","-","2,483","68"
"103年 4月/ 嘉義市","3,566","167","13","-","-","38","89","-","25","2","-","-","-","-","762","33","345","310","47","1","1","-","25","-","-","40","-","20","19","1","10","1","7","2","2,587","837"
"103年 4月/ 金門縣","879","85","5","1","-","13","32","7","7","-","-","-","-","20","217","22","79","65","31","-","2","-","18","-","-","11","-","6","5","-","-","-","-","-","566","100"
"103年 4月/ 連江縣","49","3","-","-","-","-","3","-","-","-","-","-","-","-","11","3","2","1","3","-","-","-","2","-","-","-","-","-","-","-","-","-","-","-","35","12"
"103年 4月/ 基隆港","46","8","-","-","-","-","8","-","-","-","-","-","-","-","19","3","5","5","3","-","1","-","2","-","-","-","-","-","-","-","-","-","-","-","19","8"
"103年 4月/ 臺中港","47","5","-","-","-","1","3","-","-","-","-","-","-","1","16","1","6","5","2","-","1","-","1","-","-","-","-","-","-","-","-","-","-","-","26","10"
"103年 4月/ 高雄港","141","9","-","-","-","1","5","3","-","-","-","-","-","-","51","8","16","16","7","-","-","-","4","-","-","-","-","-","-","-","3","2","1","-","78","20"
"103年 4月/ 花蓮港","8","2","-","-","-","1","1","-","-","-","-","-","-","-","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5","2"
"103年 5月/ 區域別總計","242,175","17,680","570","134","167","3,684","8,079","1,635","2,007","967","66","-","20","351","65,591","4,169","27,952","25,500","4,938","91","211","-","2,730","-","-","3,358","-","1,703","1,421","234","2,350","1,224","630","496","153,196","35,787"
"103年 5月/ 新北市","40,349","2,468","61","61","17","466","964","390","327","140","35","-","7","-","9,017","605","4,095","3,273","448","-","35","-","561","-","-","385","-","232","121","32","1,141","667","126","348","27,338","3,317"
"103年 5月/ 臺北市","29,522","2,071","31","10","23","348","657","312","256","119","14","-","2","299","6,844","453","2,773","2,741","551","-","4","-","322","-","-","515","-","223","215","77","361","174","100","87","19,731","1,734"
"103年 5月/ 桃園市","19,277","1,947","79","12","11","312","1,156","94","163","112","6","-","2","-","5,628","286","2,422","2,374","343","-","19","-","184","-","-","301","-","167","119","15","176","71","96","9","11,225","3,707"
"103年 5月/ 臺中市","28,123","1,792","16","3","14","282","956","145","224","150","-","-","2","-","8,192","276","3,655","3,330","592","82","6","-","251","-","-","332","-","166","153","13","62","-","52","10","17,745","6,763"
"103年 5月/ 臺南市","16,786","1,522","21","6","17","393","682","176","126","87","-","-","2","12","6,166","452","2,617","2,441","434","-","19","-","203","-","-","219","-","102","103","14","76","54","19","3","8,803","3,214"
"103年 5月/ 高雄市","25,195","1,906","28","10","27","590","589","255","242","160","-","-","2","3","9,004","592","3,875","3,518","621","2","45","-","351","-","-","396","-","201","175","20","276","169","89","18","13,613","2,264"
"103年 5月/ 宜蘭縣","5,866","442","16","1","7","92","243","7","45","30","1","-","-","-","1,452","81","640","531","124","1","10","-","65","-","-","85","-","45","35","5","4","1","2","1","3,883","759"
"103年 5月/ 新竹縣","3,794","325","4","9","2","49","167","20","42","32","-","-","-","-","1,300","68","556","512","142","-","7","-","15","-","-","75","-","39","33","3","18","6","11","1","2,076","806"
"103年 5月/ 苗栗縣","5,301","656","10","7","2","179","360","18","49","30","-","-","1","-","1,426","116","535","517","170","1","7","-","80","-","-","76","-","38","35","3","19","1","17","1","3,124","1,546"
"103年 5月/ 彰化縣","15,806","962","85","1","9","225","509","9","114","9","-","-","1","-","3,981","200","1,675","1,649","305","-","2","-","150","-","-","198","-","97","91","10","25","6","16","3","10,640","3,032"
"103年 5月/ 南投縣","5,909","435","32","2","7","74","227","23","49","18","-","-","-","3","1,296","93","521","485","138","2","6","-","51","-","-","107","-","55","46","6","12","3","8","1","4,059","937"
"103年 5月/ 雲林縣","7,740","536","45","2","2","87","320","15","53","4","1","-","-","7","1,923","268","728","675","167","-","6","-","79","-","-","103","-","50","47","6","18","6","12","-","5,160","1,401"
"103年 5月/ 嘉義縣","5,795","429","19","1","6","120","224","10","39","8","1","-","-","1","1,327","72","560","530","98","-","1","-","66","-","-","70","-","35","32","3","34","7","23","4","3,935","1,493"
"103年 5月/ 屏東縣","10,791","670","46","2","6","188","314","22","81","10","-","-","-","1","2,799","264","1,100","1,028","273","-","13","-","121","-","-","155","-","80","70","5","20","8","8","4","7,147","1,979"
"103年 5月/ 臺東縣","3,361","325","4","4","8","58","151","33","39","20","8","-","-","-","947","56","353","346","125","-","9","-","58","-","-","68","-","34","32","2","55","39","11","5","1,966","451"
"103年 5月/ 花蓮縣","4,272","272","13","-","1","28","127","50","42","11","-","-","-","-","919","100","356","313","107","2","2","-","39","-","-","71","-","35","30","6","9","7","1","1","3,001","550"
"103年 5月/ 澎湖縣","1,480","72","-","-","-","23","41","2","6","-","-","-","-","-","304","27","126","104","31","-","2","-","14","-","-","11","-","8","3","-","2","-","2","-","1,091","287"
"103年 5月/ 基隆市","3,617","281","41","2","3","53","125","9","48","-","-","-","-","-","746","22","322","319","45","-","6","-","32","-","-","85","-","44","32","9","6","-","6","-","2,499","404"
"103年 5月/ 新竹市","3,968","281","3","1","4","47","129","37","37","22","-","-","1","-","1,033","61","490","341","104","-","4","-","33","-","-","60","-","29","30","1","31","5","26","-","2,563","101"
"103年 5月/ 嘉義市","3,954","146","11","-","-","27","86","-","19","3","-","-","-","-","978","44","451","383","60","-","2","-","38","-","-","34","-","17","15","2","5","-","5","-","2,791","886"
"103年 5月/ 金門縣","949","102","2","-","-","35","33","5","3","-","-","-","-","24","217","20","78","66","37","-","5","-","11","-","-","6","-","3","2","1","-","-","-","-","624","99"
"103年 5月/ 連江縣","46","1","-","-","-","-","1","-","-","-","-","-","-","-","12","-","2","3","5","-","-","-","2","-","-","-","-","-","-","-","-","-","-","-","33","10"
"103年 5月/ 基隆港","55","8","-","-","-","-","6","-","-","2","-","-","-","-","14","2","3","3","4","1","-","-","1","-","-","-","-","-","-","-","-","-","-","-","33","10"
"103年 5月/ 臺中港","43","7","-","-","-","-","7","-","-","-","-","-","-","-","10","1","2","2","4","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","26","10"
"103年 5月/ 高雄港","147","20","3","-","1","4","5","3","3","-","-","-","-","1","46","8","14","14","9","-","-","-","1","-","-","6","-","3","2","1","-","-","-","-","75","22"
"103年 5月/ 花蓮港","29","4","-","-","-","4","-","-","-","-","-","-","-","-","10","2","3","2","1","-","1","-","1","-","-","-","-","-","-","-","-","-","-","-","15","5"
"103年 6月/ 區域別總計","244,401","17,585","559","137","144","3,659","7,905","1,625","2,016","1,079","64","-","29","368","68,998","4,337","29,666","26,962","5,050","82","183","-","2,718","-","-","3,527","-","1,781","1,487","259","2,379","1,329","569","474","151,912","33,364"
"103年 6月/ 新北市","40,193","2,368","47","48","10","455","942","322","328","166","38","-","12","-","9,499","632","4,329","3,481","468","-","25","-","564","-","-","394","-","249","114","31","1,097","650","125","322","26,835","2,811"
"103年 6月/ 臺北市","29,629","2,184","25","16","34","327","684","311","286","167","15","-","5","314","7,077","442","2,917","2,872","525","-","10","-","311","-","-","590","-","252","244","94","364","174","95","95","19,414","1,403"
"103年 6月/ 桃園市","19,664","1,929","86","11","7","342","1,102","116","158","100","6","-","-","1","6,043","279","2,628","2,563","327","-","12","-","234","-","-","273","-","148","110","15","194","89","99","6","11,225","3,604"
"103年 6月/ 臺中市","28,385","1,858","26","4","11","278","943","178","235","182","-","-","1","-","8,570","299","3,876","3,493","615","68","6","-","213","-","-","392","-","195","182","15","46","3","35","8","17,519","6,474"
"103年 6月/ 臺南市","16,821","1,435","12","11","18","377","604","156","143","102","-","-","1","11","6,516","505","2,763","2,553","483","3","11","-","198","-","-","270","-","128","118","24","93","62","21","10","8,507","2,941"
"103年 6月/ 高雄市","25,238","1,880","34","12","17","571","579","266","239","159","-","-","3","-","8,937","560","3,849","3,493","617","1","33","-","384","-","-","424","-","213","186","25","350","263","77","10","13,647","2,184"
"103年 6月/ 宜蘭縣","6,141","452","18","1","2","88","241","19","50","33","-","-","-","-","1,595","66","733","610","122","-","4","-","60","-","-","83","-","43","36","4","3","2","1","-","4,008","751"
"103年 6月/ 新竹縣","4,063","344","2","4","4","66","171","34","33","29","-","-","-","1","1,543","98","662","614","154","-","9","-","6","-","-","66","-","32","31","3","30","12","14","4","2,080","697"
"103年 6月/ 苗栗縣","5,097","562","2","3","1","134","331","13","44","34","-","-","-","-","1,500","101","588","570","168","-","11","-","62","-","-","84","-","42","39","3","18","2","13","3","2,933","1,445"
"103年 6月/ 彰化縣","16,846","1,065","99","8","2","220","595","17","116","7","-","-","1","-","4,510","225","1,891","1,865","364","-","9","-","156","-","-","217","-","108","102","7","15","4","11","-","11,039","2,945"
"103年 6月/ 南投縣","5,854","382","16","1","6","72","216","16","38","17","-","-","-","-","1,291","79","527","485","138","1","5","-","56","-","-","82","-","42","37","3","7","3","3","1","4,092","915"
"103年 6月/ 雲林縣","8,313","610","43","-","5","125","322","25","63","16","-","-","1","10","2,262","377","822","748","214","1","12","-","88","-","-","118","-","59","52","7","17","5","11","1","5,306","1,337"
"103年 6月/ 嘉義縣","5,690","418","27","1","5","123","206","8","40","6","-","-","2","-","1,303","64","571","527","86","-","7","-","48","-","-","85","-","42","41","2","26","5","17","4","3,858","1,459"
"103年 6月/ 屏東縣","10,575","650","62","2","2","181","290","8","91","12","-","-","2","-","2,756","239","1,106","1,022","258","5","11","-","115","-","-","176","-","86","80","10","19","5","10","4","6,974","1,894"
"103年 6月/ 臺東縣","3,344","316","3","7","7","59","154","26","37","16","5","-","-","2","990","56","394","386","110","1","3","-","40","-","-","53","-","26","25","2","48","40","6","2","1,937","392"
"103年 6月/ 花蓮縣","4,321","251","4","1","3","45","105","50","26","15","-","-","1","1","1,062","116","422","369","106","-","6","-","43","-","-","54","-","27","24","3","16","7","2","-","2,938","453"
"103年 6月/ 澎湖縣","1,626","85","3","1","1","22","46","6","6","-","-","-","-","-","365","31","153","136","27","-","2","-","16","-","-","12","-","9","3","-","2","-","2","-","1,162","284"
"103年 6月/ 基隆市","3,564","258","28","2","2","56","130","9","31","-","-","-","-","-","815","23","363","354","44","1","-","-","30","-","-","56","-","28","25","3","7","-","4","3","2,428","369"
"103年 6月/ 新竹市","3,948","253","6","3","4","46","115","29","34","16","-","-","-","-","1,112","74","538","335","118","-","3","-","44","-","-","63","-","34","24","5","24","3","20","1","2,496","32"
"103年 6月/ 嘉義市","4,020","173","14","1","3","36","90","11","16","2","-","-","-","-","986","55","435","394","73","1","-","-","28","-","-","27","-","14","11","2","3","-","3","-","2,831","876"
"103年 6月/ 金門縣","802","96","2","-","-","33","28","3","2","-","-","-","-","28","192","11","74","65","25","-","4","-","13","-","-","6","-","3","2","1","-","-","-","-","508","46"
"103年 6月/ 連江縣","49","1","-","-","-","1","-","-","-","-","-","-","-","-","11","-","6","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","37","11"
"103年 6月/ 基隆港","27","2","-","-","-","-","2","-","-","-","-","-","-","-","5","-","3","2","-","-","-","-","-","-","-","2","-","1","1","-","-","-","-","-","18","5"
"103年 6月/ 臺中港","48","4","-","-","-","-","4","-","-","-","-","-","-","-","12","1","3","6","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","32","11"
"103年 6月/ 高雄港","135","8","-","-","-","2","4","2","-","-","-","-","-","-","44","4","13","14","5","-","-","-","8","-","-","-","-","-","-","-","-","-","-","-","83","24"
"103年 6月/ 花蓮港","8","1","-","-","-","-","1","-","-","-","-","-","-","-","2","-","-","-","1","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","5","1"
"103年 7月/ 區域別總計","254,693","18,322","558","140","191","3,822","8,047","1,672","2,152","1,252","57","-","21","410","72,106","4,489","31,002","28,315","5,317","83","199","-","2,701","-","-","3,718","-","1,895","1,575","248","2,660","1,628","566","459","157,887","32,371"
"103年 7月/ 新北市","42,073","2,386","64","59","32","480","878","328","343","174","25","-","3","-","10,186","583","4,768","3,855","444","-","27","-","509","-","-","402","-","254","119","29","1,119","684","113","322","27,980","2,550"
"103年 7月/ 臺北市","30,321","2,072","34","14","24","298","637","302","263","143","15","-","2","340","7,293","410","3,037","3,009","502","-","10","-","325","-","-","546","-","240","229","77","322","162","79","81","20,088","1,124"
"103年 7月/ 桃園市","20,214","1,987","94","14","7","364","1,113","108","166","115","5","-","1","-","6,496","323","2,799","2,745","380","-","21","-","228","-","-","274","-","149","109","16","188","88","91","9","11,269","3,231"
"103年 7月/ 臺中市","29,522","1,869","26","5","16","286","904","172","259","199","-","-","2","-","8,988","305","4,062","3,686","635","68","11","-","221","-","-","434","-","218","198","18","74","3","64","7","18,157","6,484"
"103年 7月/ 臺南市","17,828","1,581","13","9","16","405","660","165","175","126","-","-","1","11","6,886","512","2,926","2,715","504","-","16","-","213","-","-","302","-","146","137","19","93","61","22","10","8,966","3,015"
"103年 7月/ 高雄市","26,645","2,112","28","10","25","688","631","292","252","179","2","-","4","1","8,705","606","3,731","3,357","653","4","32","-","322","-","-","400","-","204","179","17","622","537","70","15","14,806","2,104"
"103年 7月/ 宜蘭縣","6,553","466","13","2","8","85","267","17","48","26","-","-","-","-","1,839","102","808","695","141","1","10","-","82","-","-","94","-","49","34","11","5","2","1","2","4,149","634"
"103年 7月/ 新竹縣","3,904","367","5","5","5","64","173","35","44","36","-","-","-","-","1,479","107","605","559","185","1","9","-","13","-","-","83","-","42","37","4","29","18","9","2","1,946","627"
"103年 7月/ 苗栗縣","5,268","601","5","2","2","135","364","13","45","33","-","-","2","-","1,572","108","612","580","190","-","7","-","75","-","-","78","-","39","35","4","16","2","12","2","3,001","1,463"
"103年 7月/ 彰化縣","16,725","1,037","43","4","7","207","550","7","135","84","-","-","-","-","4,430","205","1,886","1,868","326","-","6","-","139","-","-","254","-","124","124","6","25","4","19","1","10,979","2,901"
"103年 7月/ 南投縣","6,231","405","14","4","8","69","230","23","33","21","1","-","-","2","1,475","96","600","565","146","-","7","-","61","-","-","81","-","41","36","4","5","4","1","-","4,265","920"
"103年 7月/ 雲林縣","8,343","611","42","3","6","84","329","28","75","21","-","-","1","22","2,144","354","767","726","208","5","6","-","78","-","-","142","-","71","62","9","14","1","6","1","5,432","1,397"
"103年 7月/ 嘉義縣","6,225","525","35","-","8","123","273","25","48","11","-","-","2","-","1,439","90","600","553","129","-","6","-","61","-","-","91","-","48","39","4","35","5","28","2","4,135","1,508"
"103年 7月/ 屏東縣","11,513","697","58","1","9","199","311","12","83","22","-","-","1","1","3,102","256","1,228","1,161","308","2","14","-","133","-","-","177","-","87","82","8","12","1","8","3","7,525","1,989"
"103年 7月/ 臺東縣","3,618","320","5","4","6","56","161","25","38","15","9","-","1","-","1,099","75","427","407","125","-","2","-","63","-","-","65","-","31","29","5","51","42","8","1","2,083","416"
"103年 7月/ 花蓮縣","5,415","382","15","-","5","72","154","75","41","18","-","-","1","1","1,400","164","537","481","146","-","7","-","65","-","-","78","-","40","35","3","8","6","2","-","3,547","519"
"103年 7月/ 澎湖縣","1,478","67","1","-","-","20","37","5","4","-","-","-","-","-","364","24","156","142","23","1","-","-","18","-","-","14","-","9","5","-","2","-","2","-","1,031","244"
"103年 7月/ 基隆市","3,772","255","36","2","1","63","110","4","39","-","-","-","-","-","867","28","388","374","39","-","5","-","33","-","-","72","-","36","30","6","6","2","4","-","2,572","277"
"103年 7月/ 新竹市","3,751","254","3","-","3","47","115","26","39","21","-","-","-","-","1,013","56","500","329","103","-","1","-","24","-","-","66","-","34","29","3","24","5","18","1","2,394","34"
"103年 7月/ 嘉義市","3,938","171","16","2","2","42","87","3","13","6","-","-","-","-","974","47","436","401","64","-","-","-","26","-","-","46","-","23","19","4","8","-","8","-","2,739","821"
"103年 7月/ 金門縣","1,003","127","5","-","-","32","44","7","5","2","-","-","-","32","239","26","90","68","48","-","2","-","5","-","-","13","-","7","6","-","1","-","1","-","623","51"
"103年 7月/ 連江縣","35","1","-","-","-","-","-","-","1","-","-","-","-","-","13","1","5","5","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","21","6"
"103年 7月/ 基隆港","87","9","2","-","-","-","5","-","2","-","-","-","-","-","28","3","9","8","7","1","-","-","-","-","-","4","-","2","2","-","-","-","-","-","46","16"
"103年 7月/ 臺中港","91","7","-","-","-","-","7","-","-","-","-","-","-","-","34","5","9","11","5","-","-","-","4","-","-","-","-","-","-","-","-","-","-","-","50","15"
"103年 7月/ 高雄港","125","11","1","-","1","3","5","-","1","-","-","-","-","-","36","2","14","13","4","-","-","-","3","-","-","2","-","1","-","1","1","1","-","-","75","22"
"103年 7月/ 花蓮港","15","2","-","-","-","-","2","-","-","-","-","-","-","-","5","1","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","8","3"
"103年 8月/ 區域別總計","238,726","16,724","418","145","137","3,413","7,367","1,590","2,008","1,141","74","-","32","399","68,035","4,217","29,246","26,632","5,013","80","212","-","2,635","-","-","3,352","-","1,642","1,462","248","2,177","1,112","576","489","148,438","30,178"
"103年 8月/ 新北市","40,060","2,211","47","45","16","439","834","337","351","101","36","-","5","-","9,934","594","4,600","3,695","479","-","36","-","530","-","-","314","-","160","119","35","1,114","652","125","337","26,487","2,476"
"103年 8月/ 臺北市","29,000","2,108","38","17","33","278","627","279","306","149","27","-","3","351","6,959","405","2,889","2,846","511","-","8","-","300","-","-","620","-","267","258","95","324","154","75","95","18,989","1,045"
"103年 8月/ 桃園市","19,059","1,902","75","13","4","351","1,073","104","151","124","6","-","1","-","6,077","292","2,642","2,601","343","-","17","-","182","-","-","259","-","141","106","12","197","89","96","12","10,624","3,128"
"103年 8月/ 臺中市","27,850","1,718","17","7","8","305","869","129","220","162","-","-","1","-","8,492","274","3,832","3,489","575","70","4","-","248","-","-","355","-","176","169","10","51","-","44","7","17,234","6,130"
"103年 8月/ 臺南市","15,429","1,382","11","11","15","355","583","163","139","94","-","-","-","11","5,829","437","2,460","2,303","434","2","12","-","181","-","-","262","-","123","127","12","72","35","26","11","7,884","2,643"
"103年 8月/ 高雄市","24,962","1,837","20","13","20","557","551","255","229","183","-","-","8","1","8,374","522","3,619","3,230","604","-","38","-","361","-","-","393","-","197","170","26","194","105","78","11","14,164","2,026"
"103年 8月/ 宜蘭縣","5,960","345","8","3","4","61","198","15","35","19","-","-","1","1","1,769","81","819","676","120","-","13","-","60","-","-","59","-","28","28","3","-","-","-","-","3,787","469"
"103年 8月/ 新竹縣","3,925","332","8","3","3","43","180","36","33","26","-","-","-","-","1,594","94","667","629","181","-","8","-","15","-","-","67","-","34","30","3","19","9","10","-","1,913","609"
"103年 8月/ 苗栗縣","5,087","556","4","2","-","130","327","15","46","32","-","-","-","-","1,550","127","600","564","177","-","5","-","77","-","-","79","-","41","29","9","19","1","17","1","2,883","1,414"
"103年 8月/ 彰化縣","15,374","873","27","3","9","184","438","13","112","86","-","-","1","-","4,135","189","1,744","1,726","321","-","8","-","147","-","-","213","-","107","92","14","29","4","22","3","10,124","2,659"
"103年 8月/ 南投縣","6,002","417","16","2","3","70","242","19","39","23","-","-","-","3","1,402","94","571","546","135","-","5","-","51","-","-","86","-","46","37","3","6","3","3","-","4,091","862"
"103年 8月/ 雲林縣","8,295","559","34","7","2","90","306","19","63","33","-","-","1","4","2,299","407","805","756","226","-","2","-","103","-","-","118","-","59","54","5","12","5","5","2","5,307","1,361"
"103年 8月/ 嘉義縣","5,657","413","17","3","2","92","205","13","50","31","-","-","-","-","1,365","80","572","532","114","2","10","-","55","-","-","96","-","49","41","6","37","8","24","5","3,746","1,343"
"103年 8月/ 屏東縣","9,997","619","47","5","5","170","270","22","79","21","-","-","-","-","2,579","239","1,005","947","249","2","20","-","117","-","-","154","-","77","74","3","12","-","10","2","6,633","1,711"
"103年 8月/ 臺東縣","3,293","298","3","7","3","60","136","46","25","13","5","-","-","-","911","57","350","337","115","-","1","-","51","-","-","47","-","22","24","1","45","37","7","1","1,992","392"
"103年 8月/ 花蓮縣","5,204","339","4","1","3","56","145","67","40","22","-","-","-","1","1,380","146","528","481","161","2","13","-","49","-","-","64","-","32","28","4","7","4","3","-","3,414","504"
"103年 8月/ 澎湖縣","1,301","75","1","-","2","20","38","8","6","-","-","-","-","-","282","24","117","109","24","1","-","-","7","-","-","12","-","7","4","1","3","-","3","-","929","239"
"103年 8月/ 基隆市","3,596","238","29","1","1","60","110","4","33","-","-","-","-","-","850","26","374","367","48","1","4","-","30","-","-","58","-","29","29","-","5","1","4","-","2,445","243"
"103年 8月/ 新竹市","3,994","258","2","-","4","39","131","36","29","15","-","-","2","-","1,119","63","552","371","98","-","3","-","32","-","-","54","-","26","25","3","27","3","22","2","2,536","37"
"103年 8月/ 嘉義市","3,690","138","7","2","-","34","71","5","15","2","-","-","2","-","882","49","400","343","61","-","1","-","28","-","-","25","-","12","13","-","2","-","2","-","2,643","805"
"103年 8月/ 金門縣","737","95","3","-","-","16","25","5","7","5","-","-","7","27","163","9","66","53","26","-","3","-","6","-","-","17","-","9","5","3","-","-","-","-","462","35"
"103年 8月/ 連江縣","75","7","-","-","-","2","5","-","-","-","-","-","-","-","22","1","8","9","2","-","1","-","1","-","-","-","-","-","-","-","-","-","-","-","46","12"
"103年 8月/ 基隆港","52","3","-","-","-","-","3","-","-","-","-","-","-","-","19","1","8","7","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","30","12"
"103年 8月/ 臺中港","56","-","-","-","-","-","-","-","-","-","-","-","-","-","24","2","9","7","4","-","-","-","2","-","-","-","-","-","-","-","-","-","-","-","32","10"
"103年 8月/ 高雄港","62","1","-","-","-","1","-","-","-","-","-","-","-","-","22","3","8","7","2","-","-","-","2","-","-","-","-","-","-","-","2","2","-","-","37","11"
"103年 8月/ 花蓮港","9","-","-","-","-","-","-","-","-","-","-","-","-","-","3","1","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","6","2"
"103年 9月/ 區域別總計","238,364","16,385","364","120","195","3,421","7,196","1,489","1,952","1,218","53","-","15","362","68,751","4,156","29,818","27,118","4,851","73","208","-","2,527","-","-","3,294","-","1,633","1,434","227","2,057","1,044","530","483","147,877","30,029"
"103年 9月/ 新北市","39,374","2,070","36","39","18","454","842","251","304","101","23","-","2","-","9,767","561","4,573","3,617","465","-","30","-","521","-","-","272","-","137","113","22","1,046","581","117","348","26,219","2,369"
